u6xad99gv0,health-leq-2019-02,leq,2019-02-06 00:00:30,2020-10-07 04:20:47,health
nivkx7mgot,gift-leq-2019-03,leq,2019-03-03 06:40:48,2020-05-31 07:57:58,gift
k38jbn40fl,gift-leq-2019-05,leq,2019-05-15 20:35:19,,gift
l6octqbreu,food-leq-2019-05,leq,2019-05-18 17:34:55,2019-09-06 20:03:38,food
q5gxxbxhyp,housing-leq-2019-04,leq,2019-04-06 02:14:33,,housing
n1bm0wto2g,personal-beq-2019-09,beq,2019-09-04 17:47:52,,personal
74qqm4ef2q,clothing-leq-2019-08,leq,2019-08-07 05:22:29,2020-07-11 20:48:12,clothing
njlufygb9r,personal-leq-2019-08,leq,2019-08-14 01:23:28,2020-07-28 06:11:23,personal
prnoqh06vy,_-leq-2019-02,leq,2019-02-14 20:06:00,,
f2unzoi71t,gift-leq-2019-06,leq,2019-06-15 14:27:54,,gift
ol54pixkbx,_-leq-2020-04,leq,2020-04-30 16:31:05,2020-07-08 15:24:29,
6jtcks3h4g,finance-beq-2019-03,beq,2019-03-24 15:42:06,,finance
1s4ho50fjr,tax-beq-2020-03,beq,2020-03-09 12:49:02,2020-08-23 11:56:05,tax
5rhn09nzx8,debt-leq-2019-08,leq,2019-08-28 11:54:50,,debt
b32uw1kdwp,personal-leq-2019-10,leq,2019-10-25 17:41:26,2020-03-31 15:52:29,personal
e4ep4qwija,gift-beq-2019-07,beq,2019-07-19 23:17:26,,gift
mmk3bvby8k,clothing-leq-2019-07,leq,2019-07-23 23:39:54,,clothing
bemtfu0jjz,gift-beq-2019-08,beq,2019-08-18 20:40:17,,gift
zy9kwyjpjw,housing-leq-2019-01,leq,2019-01-01 01:29:06,2019-11-19 13:27:21,housing
cn7is2c7ra,personal-beq-2019-02,beq,2019-02-12 07:56:25,2020-01-03 20:00:04,personal
ze14il9a2r,food-leq-2019-04,leq,2019-04-27 01:51:42,,food
6941rniuw7,housing-leq-2020-06,leq,2020-06-22 18:28:08,,housing
nfijpgpnad,finance-beq-2019-02,beq,2019-02-23 23:22:54,,finance
ahiwwruy0k,_-beq-2019-12,beq,2019-12-18 21:47:12,2020-02-23 22:44:07,
wqhymvqpwm,finance-beq-2019-08,beq,2019-08-24 05:31:29,,finance
1zpjgy5ntt,clothing-leq-2019-02,leq,2019-02-27 16:58:13,2020-12-30 11:46:19,clothing
pues9ak9yt,health-beq-2019-08,beq,2019-08-15 15:36:41,,health
of6k0a0ofp,debt-leq-2019-02,leq,2019-02-07 07:40:37,2020-10-31 18:05:15,debt
ba15iez6n4,_-beq-2019-04,beq,2019-04-20 00:17:27,,
gzwlrht8l1,clothing-beq-2020-06,beq,2020-06-26 02:46:41,2020-08-06 04:28:08,clothing
zgeqvl66gn,clothing-beq-2019-04,beq,2019-04-26 16:08:59,,clothing
j94ivpzzrz,health-leq-2019-07,leq,2019-07-06 06:57:11,,health
vanry76qja,tax-leq-2019-03,leq,2019-03-28 02:25:53,2020-12-14 21:56:57,tax
qqjkskcwld,health-beq-2019-06,beq,2019-06-27 04:36:53,2020-08-24 21:02:12,health
1196nbels6,tax-leq-2019-10,leq,2019-10-05 13:16:52,2020-07-23 13:40:25,tax
ycot6gjgc1,personal-beq-2019-10,beq,2019-10-27 11:14:44,2020-03-22 13:16:10,personal
7kuhf7vzyw,housing-leq-2019-10,leq,2019-10-22 05:23:36,,housing
97f2w7761f,food-leq-2019-07,leq,2019-07-02 01:07:50,2019-09-12 01:01:57,food
jtt4sbpr16,tax-beq-2019-11,beq,2019-11-14 07:49:21,2019-11-16 19:45:07,tax
u8kagv75i2,_-leq-2020-02,leq,2020-02-03 04:01:54,2020-11-24 12:00:24,
52t7dt2sc0,_-beq-2019-02,beq,2019-02-07 22:06:49,2019-10-28 21:21:21,
efsbkrwbq6,clothing-beq-2019-10,beq,2019-10-01 22:08:06,2020-03-12 12:01:49,clothing
kcvhr794m2,food-leq-2020-02,leq,2020-02-01 13:46:02,2020-06-20 17:38:03,food
4ecbg5bo6h,gift-beq-2019-03,beq,2019-03-19 03:44:21,,gift
h6tt9ptgmp,_-beq-2019-08,beq,2019-08-21 22:23:06,2020-06-04 17:46:15,
nnlupejcii,clothing-beq-2019-06,beq,2019-06-17 04:15:09,2020-10-05 11:26:55,clothing
wu7alijt8y,tax-beq-2020-08,beq,2020-08-05 21:06:36,2020-08-23 01:31:13,tax
9d0zc26x5g,debt-beq-2019-05,beq,2019-05-27 19:20:01,,debt
swpxddbk1d,debt-leq-2019-06,leq,2019-06-29 04:29:45,2020-05-24 13:49:50,debt
afcoa5s9xb,gift-beq-2020-08,beq,2020-08-04 12:39:16,2020-10-20 12:44:52,gift
0w3e8nizcw,gift-beq-2020-02,beq,2020-02-12 12:39:32,2020-12-24 04:36:21,gift
s5lvqnvg7t,finance-beq-2019-04,beq,2019-04-24 13:59:51,,finance
woe684beu4,personal-beq-2019-06,beq,2019-06-19 08:10:28,2020-08-09 03:54:54,personal
ye9ehofb3o,finance-leq-2020-02,leq,2020-02-22 08:03:47,2020-04-08 21:38:48,finance
aftejxgzdr,debt-beq-2019-06,beq,2019-06-22 12:06:36,2020-11-21 11:21:31,debt
xna63kz722,housing-leq-2019-02,leq,2019-02-20 19:34:50,2020-03-12 23:21:33,housing
0r6wl48len,tax-beq-2020-01,beq,2020-01-28 08:15:29,2020-07-06 02:56:41,tax
qxzqfdw0b0,finance-beq-2020-07,beq,2020-07-28 22:13:19,2020-09-12 06:50:01,finance
9h3vj0wqhx,housing-beq-2019-02,beq,2019-02-15 15:13:04,2020-04-10 20:26:21,housing
gvwoqo3fb5,gift-leq-2019-12,leq,2019-12-20 20:06:18,2020-10-21 14:00:58,gift
asx9gi15m7,gift-beq-2019-05,beq,2019-05-22 05:18:06,2020-04-23 08:58:41,gift
xnwq6360s4,clothing-leq-2019-03,leq,2019-03-19 08:04:24,2019-10-05 19:44:27,clothing
dx1b0t5lyo,finance-leq-2019-08,leq,2019-08-24 04:43:18,,finance
3mgv0jyllz,gift-leq-2019-02,leq,2019-02-23 22:27:16,2019-12-05 04:34:45,gift
3vl98fnoku,finance-beq-2019-01,beq,2019-01-03 14:36:21,2019-05-07 22:00:47,finance
t25vxbvssf,housing-leq-2019-03,leq,2019-03-22 17:15:01,,housing
1uo3qn1lc7,_-beq-2019-07,beq,2019-07-24 02:35:01,2019-11-07 15:19:55,
m7ala280of,_-beq-2020-01,beq,2020-01-09 01:23:41,2020-01-16 05:03:27,
n4v6y2zi39,food-beq-2019-08,beq,2019-08-03 18:56:53,,food
m9l6ot0jta,housing-leq-2019-08,leq,2019-08-18 02:32:24,2020-10-19 10:34:42,housing
ba4hie61hb,debt-beq-2019-01,beq,2019-01-20 08:21:16,,debt
nfyaz99hc4,gift-beq-2019-12,beq,2019-12-21 19:11:47,2020-08-08 09:17:38,gift
mvr8cnlyn9,food-beq-2019-04,beq,2019-04-08 05:18:10,,food
g69anp4ub1,tax-leq-2019-09,leq,2019-09-09 17:04:12,2019-12-03 17:37:44,tax
xqk5b10n09,gift-beq-2020-03,beq,2020-03-19 09:22:03,,gift
e9xiii9w5w,gift-beq-2020-10,beq,2020-10-27 00:52:43,,gift
0sv09xcgyi,tax-leq-2019-04,leq,2019-04-02 13:57:12,2019-11-25 05:50:45,tax
q8h8qjepjs,debt-beq-2019-04,beq,2019-04-16 04:00:33,2020-09-20 20:27:06,debt
8l6qdx92rj,finance-leq-2020-07,leq,2020-07-29 10:42:47,2020-10-19 06:53:34,finance
130bm8k0l8,gift-leq-2019-01,leq,2019-01-28 09:42:51,2020-06-06 12:19:14,gift
jxeo7se0zh,tax-beq-2019-01,beq,2019-01-23 09:00:19,2019-06-21 05:24:42,tax
24o3rtwo2e,health-beq-2019-01,beq,2019-01-05 14:10:40,,health
7azl3uvtcm,gift-leq-2019-11,leq,2019-11-13 14:22:28,2020-10-14 09:45:07,gift
45y143ymtr,debt-leq-2019-01,leq,2019-01-16 11:48:35,2019-09-01 15:13:50,debt
o1ikz1bvgt,_-beq-2019-09,beq,2019-09-30 21:08:20,2019-11-26 05:03:10,
05euemf0cz,personal-leq-2020-05,leq,2020-05-25 14:30:11,2020-09-26 22:24:25,personal
7lpyysb68c,food-beq-2019-12,beq,2019-12-02 01:23:55,2020-04-25 18:03:26,food
5rzn54u008,personal-beq-2019-05,beq,2019-05-09 14:20:55,,personal
410znshdwb,_-leq-2019-10,leq,2019-10-15 03:21:40,2020-02-01 15:42:41,
oey9kf47vw,personal-leq-2019-03,leq,2019-03-29 02:41:46,,personal
kwqgogr8os,tax-beq-2019-03,beq,2019-03-26 03:38:45,2020-10-14 10:30:26,tax
l7d48g5n4e,health-leq-2019-01,leq,2019-01-13 08:57:01,,health
ezge70jqhy,clothing-beq-2019-09,beq,2019-09-25 02:49:42,2020-03-06 05:05:48,clothing
s65ce41bis,finance-leq-2019-02,leq,2019-02-18 12:49:03,2019-09-30 03:36:00,finance
4jgz5qt1lo,food-leq-2019-09,leq,2019-09-14 09:09:10,,food
5b4vsiz8z9,debt-beq-2020-11,beq,2020-11-02 01:20:43,2020-12-07 13:32:05,debt
8nqbuknlcn,_-leq-2019-07,leq,2019-07-30 19:24:36,,
wgwe7dfizl,clothing-leq-2020-04,leq,2020-04-14 21:38:33,2020-04-20 16:31:48,clothing
m2fd2g2161,housing-leq-2019-09,leq,2019-09-12 05:53:18,2020-04-26 11:58:38,housing
gnrp9f0d0f,finance-leq-2019-05,leq,2019-05-26 19:07:58,2019-10-05 04:20:27,finance
